RA	DEC	Name	Bensby	Joyce_age	RA_h	RA_m	RA_sec	DEC_d	DEC_m	DEC_s	Teff	error_Teff	log(g)	error_log(g)	[Fe/H]	error_[Fe/H]	Mass	lower_mass_limit	upper_mass_limit	Age_(gyr)	lower_age_limit	upper_age_limit	microlense_Teff	[Mg/Fe]	error_[Mg/Fe]	[Si/Fe]	error_[Si/Fe]	[Ca/Fe]	error_[Ca/Fe]	[Ti/Fe]	error_[Ti/Fe]
268.24746	-29.09919	OGLE-2013-BLG-0835S	5.80	10.33	17	52	59.39	-29	5	57.10	4806	200	3.30	0.30	0.53	0.25	1.13	1.04	1.68	5.80	2.70	12.00	4880	0.12	99.99	-0.03	0.25	0.04	0.25	0.04	99.99
268.88325	-29.25383	OGLE-2013-BLG-0911S	4.00	5.1	17	55	31.98	-29	15	13.80	5785	77	4.10	0.11	0.47	0.09	1.24	1.19	1.37	4.00	3.60	5.70	6616	0.06	0.09	0.12	0.06	0.02	0.06	-0.03	0.05
268.20075	-35.01428	OGLE-2013-BLG-1015S	6.40	7.97	17	52	48.18	-35	0	51.40	5571	60	4.00	0.09	0.36	0.07	1.16	1.10	1.26	6.40	5.30	8.20	5633	0.12	0.09	0.02	0.06	0.00	0.07	0.02	0.04
268.60167	-28.94225	OGLE-2013-BLG-1114S	1.60	3.45	17	54	24.40	-28	56	32.10	6410	259	4.40	0.27	0.42	0.19	1.33	1.19	1.52	1.60	1.00	3.30	5731	-0.05	0.13	-0.07	0.10	0.00	0.13	-0.03	0.05
268.36254	-29.79281	OGLE-2013-BLG-1125S	10.30	10.92	17	53	27.01	-29	47	34.10	4739	86	3.00	0.18	-0.12	0.07	0.95	99.99	1.39	10.30	4.20	12.60	5012	0.16	0.12	0.12	0.09	0.10	0.18	0.24	0.11
272.16329	-26.67911	OGLE-2013-BLG-1147S	4.10	5.43	18	8	39.19	-26	40	44.80	5725	96	3.80	0.15	0.29	0.09	1.38	1.22	1.56	4.10	2.80	5.70	5260	0.14	0.09	0.11	0.07	0.00	0.07	-0.03	0.05
272.59725	-27.97933	OGLE-2013-BLG-1259S	9.50	12.84	18	10	23.34	-27	58	45.60	5299	64	3.90	0.12	-0.21	0.06	0.97	0.95	1.17	9.50	5.90	12.60	5510	0.24	0.08	0.14	0.06	0.17	0.12	0.28	0.04
268.11075	-31.61217	OGLE-2013-BLG-1768S	11.00	11.16	17	52	26.58	-31	36	43.80	4842	200	3.50	0.30	0.11	0.25	1.04	0.99	1.41	11.00	4.00	12.70	4354	0.18	99.99	0.11	0.25	-0.06	0.25	99.99	99.99
268.51954	-29.63447	OGLE-2013-BLG-1793S	5.40	7.39	17	54	4.69	-29	38	4.10	5503	66	3.90	0.09	0.32	0.07	1.21	1.14	1.36	5.40	4.30	7.60	5312	0.05	0.07	0.02	0.06	0.02	0.06	0.01	0.06
271.39817	-30.88514	OGLE-2013-BLG-1868S	5.30	6.05	18	5	35.56	-30	53	6.50	5732	78	4.10	0.11	0.38	0.07	1.17	1.13	1.31	5.30	4.30	6.80	5632	0.00	0.09	0.04	0.06	-0.01	0.06	0.06	0.06
266.50788	-34.20875	OGLE-2013-BLG-1938S	14.60	12.89	17	46	1.89	-34	12	31.50	4921	60	3.30	0.13	-0.41	0.09	0.94	0.92	1.14	14.60	6.50	99.90	5024	0.35	0.14	0.23	0.08	0.22	0.18	0.35	0.09
269.76042	-31.03186	MOA-2014-BLG-131S	13.10	13.17	17	59	2.50	-31	1	54.70	5156	128	4.40	0.20	0.29	0.34	0.87	0.79	0.91	13.10	3.80	99.90	5049	0.01	0.35	0.04	0.25	0.00	0.34	0.08	0.33
269.57021	-33.77189	OGLE-2014-BLG-0157S	14.00	13.7	17	58	16.85	-33	46	18.80	4951	71	3.40	0.14	-0.52	0.10	0.92	0.90	1.08	14.00	7.40	99.90	4952	0.36	0.09	0.29	0.09	0.22	0.11	0.36	0.07
268.51008	-32.59211	OGLE-2014-BLG-0801S	1.20	9.73	17	54	2.42	-32	35	31.60	4720	150	2.90	0.28	0.55	0.34	0.98	99.99	2.00	1.20	99.90	11.50	4880	0.21	0.31	0.15	0.23	0.12	0.34	99.99	0.44
