H Yields: 1aSNe (James Keegans)
H Prepared by: Thomas Trueman (October, 2021)
&Isotopes  &Z=0.1     &Z=0.05    &Z=0.02    &Z=0.014   &Z=0.01    &Z=0.005   &Z=0.002   &Z=0.001   &Z=0.0001  &Z=1e-05   &Z=1e-06   &Z=1e-07   &Z=1e-30  
&Ni-58     &0.0813    &0.0384    &0.0138    &0.0092    &0.0061    &0.0023    &0.0005    &0.0007    &0.0009    &0.0009    &0.0009    &0.0009    &0.0009   
&Ni-60     &0.0018    &0.0035    &0.0048    &0.0051    &0.0053    &0.0057    &0.0061    &0.0059    &0.0059    &0.0059    &0.0059    &0.0059    &0.0059   
&Ni-61     &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &8.88e-05  &7.21e-05  &7.07e-05  &7.03e-05  &7.02e-05  &7.03e-05 
&Ni-62     &0.0035    &0.0028    &0.0013    &0.0009    &0.0007    &0.0003    &0.0001    &3.78e-05  &3.4e-05   &3.45e-05  &3.43e-05  &3.42e-05  &3.43e-05 
&Ni-64     &4.62e-15  &2.53e-16  &3.36e-17  &2.77e-17  &2.58e-17  &2.26e-17  &1.68e-18  &8.17e-20  &2.82e-23  &2.63e-23  &2.6e-23   &2.6e-23   &2.6e-23  
&Cu-63     &2.37e-06  &1.28e-06  &4.73e-07  &3.64e-07  &3.16e-07  &3.31e-07  &8.11e-06  &4.56e-06  &5.01e-06  &5.21e-06  &5.19e-06  &5.18e-06  &5.19e-06 
&Cu-65     &5.09e-07  &9.28e-07  &8.56e-07  &7.72e-07  &7.02e-07  &6.1e-07   &6.53e-07  &6.7e-07   &5.34e-07  &5.21e-07  &5.16e-07  &5.15e-07  &5.16e-07 
&Zn-64     &2.12e-06  &5.83e-06  &1.03e-05  &1.2e-05   &1.39e-05  &2.09e-05  &8.38e-05  &0.0001    &0.0001    &0.0001    &0.0001    &0.0001    &0.0001   
&Zn-66     &2.65e-05  &3.09e-05  &1.81e-05  &1.37e-05  &1.04e-05  &6.05e-06  &3.45e-06  &2.38e-06  &1.39e-06  &1.31e-06  &1.29e-06  &1.29e-06  &1.29e-06 
&Zn-67     &2.59e-08  &2.3e-08   &9.03e-09  &5.75e-09  &3.66e-09  &1.37e-09  &1.02e-08  &2.35e-08  &2.2e-08   &2.14e-08  &2.12e-08  &2.12e-08  &2.12e-08 
&Zn-68     &2.32e-08  &9.49e-09  &8.78e-09  &1.01e-08  &1.18e-08  &1.93e-08  &1.17e-07  &5.48e-07  &1.06e-06  &1.1e-06   &1.09e-06  &1.08e-06  &1.08e-06 
&Zn-70     &5.14e-26  &9.14e-25  &9.28e-23  &5.58e-23  &1.92e-23  &2.45e-24  &1.12e-25  &5.45e-27  &2.41e-30  &1.46e-30  &1.4e-30   &1.4e-30   &1.4e-30  
&Ga-69     &7.93e-10  &1.54e-09  &1.97e-09  &1.98e-09  &1.97e-09  &1.95e-09  &2.06e-09  &2.58e-09  &3.42e-09  &3.48e-09  &3.44e-09  &3.42e-09  &3.43e-09 
&Ga-71     &1.54e-10  &2.71e-10  &1.59e-10  &1.1e-10   &7.46e-11  &3.07e-11  &3.79e-12  &6.01e-12  &7.3e-12   &7.35e-12  &7.25e-12  &7.21e-12  &7.23e-12 
&Ge-70     &8.71e-08  &1.21e-07  &7.64e-08  &5.88e-08  &4.55e-08  &2.78e-08  &1.74e-08  &1.38e-08  &1.09e-08  &1.06e-08  &1.04e-08  &1.04e-08  &1.04e-08 
&Ge-72     &7.71e-10  &3.68e-10  &5.27e-11  &2.42e-11  &1.25e-11  &6.47e-12  &5.94e-11  &4.07e-10  &1.06e-09  &1.13e-09  &1.11e-09  &1.1e-09   &1.11e-09 
&Ge-73     &1.64e-12  &3.74e-12  &5.66e-12  &6.05e-12  &6.35e-12  &7.7e-12   &1.6e-11   &1.53e-11  &1.81e-11  &1.85e-11  &1.81e-11  &1.8e-11   &1.8e-11  
&Ge-74     &1.2e-26   &1.25e-24  &2.06e-21  &2.55e-21  &1.35e-21  &1.44e-22  &9.93e-24  &1.92e-24  &1.61e-26  &6e-27     &5.38e-27  &5.39e-27  &5.39e-27 
&Ge-76     &3.54e-31  &5.74e-28  &3.87e-25  &2.71e-25  &6.49e-26  &7.29e-28  &1.92e-29  &1.97e-34  &2.06e-34  &1.99e-34  &1.81e-34  &1.94e-34  &1.97e-34 
&As-75     &2.17e-12  &3.37e-12  &1.82e-12  &1.31e-12  &9.53e-13  &4.96e-13  &1.5e-13   &3.54e-13  &4.67e-13  &4.72e-13  &4.62e-13  &4.58e-13  &4.59e-13 
&Se-74     &3.11e-10  &6.42e-10  &4.05e-10  &3.06e-10  &2.34e-10  &1.45e-10  &9.63e-11  &7.67e-11  &5.95e-11  &5.77e-11  &5.65e-11  &5.61e-11  &5.63e-11 
&Se-76     &1.17e-11  &1.05e-11  &2.27e-12  &1.09e-12  &5.35e-13  &1.33e-13  &5.77e-13  &4.92e-12  &1.32e-11  &1.41e-11  &1.37e-11  &1.36e-11  &1.37e-11 
&Se-77     &3.7e-14   &8.51e-14  &9.15e-14  &9.45e-14  &1.03e-13  &1.53e-13  &4.29e-13  &4.48e-13  &5.37e-13  &5.47e-13  &5.33e-13  &5.29e-13  &5.31e-13 
&Se-78     &2.01e-26  &1.15e-25  &8.27e-22  &1.92e-21  &1.62e-21  &1.83e-22  &1.07e-23  &1.26e-24  &2.19e-27  &6.9e-28   &5.94e-28  &6.08e-28  &5.94e-28 
&Se-80     &2.67e-31  &1.77e-28  &1.46e-24  &2.25e-24  &1.07e-24  &1.68e-26  &1.12e-28  &5.97e-30  &3.01e-34  &2.91e-34  &3e-34     &3.12e-34  &2.99e-34 
&Se-82     &3.89e-34  &1.41e-32  &6.4e-28   &5.99e-28  &2.09e-28  &6e-30     &8.07e-36  &7.95e-36  &8.61e-36  &7.91e-36  &7.93e-36  &7.86e-36  &7.95e-36 
&Br-79     &4.2e-14   &6.7e-14   &3.77e-14  &2.86e-14  &2.24e-14  &1.52e-14  &1.94e-14  &3.76e-14  &4.05e-14  &3.97e-14  &3.86e-14  &3.83e-14  &3.84e-14 
&Br-81     &3.28e-16  &4.7e-16   &3.07e-16  &2.46e-16  &2.06e-16  &1.89e-16  &5.39e-15  &1.21e-14  &1.55e-14  &1.58e-14  &1.53e-14  &1.52e-14  &1.52e-14 
&Kr-78     &1.12e-12  &3.97e-12  &3.54e-12  &2.86e-12  &2.31e-12  &1.55e-12  &1.08e-12  &7.66e-13  &4.72e-13  &4.45e-13  &4.33e-13  &4.3e-13   &4.31e-13 
&Kr-82     &2.62e-15  &1.37e-14  &1.82e-14  &1.75e-14  &1.67e-14  &1.57e-14  &1.48e-14  &1.25e-14  &1.12e-14  &1.1e-14   &1.06e-14  &1.06e-14  &1.06e-14 
&Kr-83     &4.13e-16  &8.86e-16  &5.66e-16  &4.58e-16  &3.88e-16  &3.1e-16   &2.89e-16  &1.83e-16  &1.26e-16  &1.24e-16  &1.2e-16   &1.19e-16  &1.19e-16 
&Kr-84     &2.86e-30  &5.5e-30   &1.82e-24  &7.29e-24  &8.15e-24  &3.43e-25  &3.07e-27  &1.5e-28   &8.85e-31  &2.57e-31  &2.52e-31  &3.57e-31  &4e-31    
&Kr-86     &2.51e-33  &1.08e-33  &9.53e-28  &2.31e-27  &1.86e-27  &4.72e-29  &1.24e-33  &3.26e-35  &3.2e-35   &3.04e-35  &3.03e-35  &3.03e-35  &3.02e-35 
&Rb-85     &4.51e-18  &3.55e-18  &1.59e-18  &1.35e-18  &1.27e-18  &1.64e-18  &3.09e-17  &1.45e-16  &2.42e-16  &2.47e-16  &2.36e-16  &2.35e-16  &2.35e-16 
&Rb-87     &3.05e-32  &7.37e-33  &1.69e-25  &8.54e-25  &1.22e-24  &2.24e-26  &6.27e-29  &3.22e-34  &3.9e-35   &3.74e-35  &3.7e-35   &3.69e-35  &3.95e-35 
&Sr-84     &7.03e-16  &8.38e-16  &3.46e-16  &2.42e-16  &1.79e-16  &1.13e-16  &5.02e-17  &9.2e-17   &2.4e-16   &2.58e-16  &2.47e-16  &2.45e-16  &2.46e-16 
&Sr-86     &9.75e-18  &3.58e-18  &1.91e-18  &1.96e-18  &2.22e-18  &3.98e-18  &4.25e-17  &7.48e-17  &7.44e-17  &7.39e-17  &7.06e-17  &7e-17     &7.02e-17 
&Sr-87     &3.47e-18  &5.95e-18  &3.1e-18   &2.36e-18  &1.91e-18  &1.44e-18  &1.41e-18  &1.63e-18  &1.73e-18  &1.73e-18  &1.65e-18  &1.63e-18  &1.64e-18 
&Sr-88     &2.28e-17  &2.46e-17  &6.78e-18  &4.3e-18   &3.01e-18  &1.82e-18  &1.25e-18  &8.76e-19  &5.96e-19  &5.73e-19  &5.45e-19  &5.41e-19  &5.42e-19 
&Y-89      &1.76e-18  &2.07e-18  &5.83e-19  &3.52e-19  &2.3e-19   &1.05e-19  &2.7e-20   &4.35e-20  &6.65e-20  &6.83e-20  &6.46e-20  &6.41e-20  &6.43e-20 
&Zr-90     &3.66e-18  &2.89e-18  &4.27e-19  &1.91e-19  &9.22e-20  &2.65e-20  &5.72e-20  &2.52e-19  &5.67e-19  &5.92e-19  &5.58e-19  &5.53e-19  &5.55e-19 
&Zr-91     &7.38e-20  &7.31e-20  &5.19e-20  &4.79e-20  &4.77e-20  &5.86e-20  &9.95e-20  &1e-19     &1.03e-19  &1.03e-19  &9.71e-20  &9.63e-20  &9.66e-20 
&Zr-92     &3.59e-29  &9.74e-30  &2.38e-30  &3.55e-30  &4.98e-30  &1.47e-30  &4.69e-31  &3.51e-31  &2.93e-31  &2.9e-31   &2.86e-31  &2.85e-31  &2.86e-31 
&Zr-94     &3.97e-36  &2.32e-36  &2.02e-36  &1.93e-36  &1.87e-36  &2e-36     &1.89e-36  &1.6e-36   &1.86e-36  &2.19e-36  &2.03e-36  &1.55e-36  &1.63e-36 
&Zr-96     &2.72e-39  &5.03e-40  &1.82e-40  &1.53e-40  &1.35e-40  &1.16e-40  &1.04e-40  &9.41e-41  &9.93e-41  &9.91e-41  &9.13e-41  &9.13e-41  &9.13e-41 
&Nb-93     &2.6e-19   &2.81e-19  &8.17e-20  &5.31e-20  &3.81e-20  &2.36e-20  &1.42e-20  &5.12e-21  &1.66e-21  &1.55e-21  &1.47e-21  &1.46e-21  &1.46e-21 
&Mo-92     &3.3e-19   &9.68e-19  &5.75e-19  &4.3e-19   &3.35e-19  &2.28e-19  &1.71e-19  &1.42e-19  &1.32e-19  &1.3e-19   &1.22e-19  &1.21e-19  &1.21e-19 
